Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote
2023-01-18,6.80700000,6.98500000,6.25600000,6.33400000,8425216.27000000,2023-01-18 23:59:59.999,55881221.24810000,166545,3942530.82000000,26152137.19739000
2023-01-19,6.33300000,6.54500000,6.31400000,6.50600000,3290241.13000000,2023-01-19 23:59:59.999,21134635.42370000,62176,1546736.01000000,9938429.12258000
2023-01-20,6.50600000,6.97100000,6.41400000,6.94100000,4178985.33000000,2023-01-20 23:59:59.999,27830731.73289000,81226,2070822.17000000,13798370.03428000
2023-01-21,6.94200000,7.11000000,6.80200000,6.85300000,6497547.24000000,2023-01-21 23:59:59.999,45344248.10080000,123985,3242090.13000000,22637207.51417000
2023-01-22,6.85300000,7.27100000,6.77700000,6.98400000,6817766.36000000,2023-01-22 23:59:59.999,47764216.74929000,130465,3413101.38000000,23920941.00873000
2023-01-23,6.98300000,7.23400000,6.84800000,7.01500000,6475146.95000000,2023-01-23 23:59:59.999,45756617.40156000,126162,3175323.94000000,22446479.54760000
2023-01-24,7.01500000,7.20000000,6.52500000,6.66100000,5392217.62000000,2023-01-24 23:59:59.999,37589315.59651000,105537,2385461.74000000,16637333.96212000
2023-01-25,6.66100000,7.09900000,6.51000000,6.95400000,6744418.44000000,2023-01-25 23:59:59.999,45612002.73189000,115210,3234428.63000000,21868344.92238000
2023-01-26,6.95500000,7.31600000,6.82400000,7.16900000,7008005.12000000,2023-01-26 23:59:59.999,49340507.52614000,119331,3435453.04000000,24211337.49931000
2023-01-27,7.17000000,7.49600000,6.92200000,7.38400000,6803663.45000000,2023-01-27 23:59:59.999,49240075.45307000,134636,3274798.08000000,23713948.34892000
2023-01-28,7.38400000,7.50900000,7.12000000,7.21100000,4021763.73000000,2023-01-28 23:59:59.999,29341991.26285000,75427,1942221.28000000,14173301.26822000
2023-01-29,7.21000000,7.51800000,7.14400000,7.37200000,5028035.00000000,2023-01-29 23:59:59.999,37008071.60780000,88697,2485991.51000000,18308929.98347000
2023-01-30,7.37300000,7.43900000,6.74800000,6.91400000,5014854.05000000,2023-01-30 23:59:59.999,35325388.07901000,109497,2297937.56000000,16179824.67365000
2023-01-31,6.91500000,7.07400000,6.85500000,6.95200000,3336356.54000000,2023-01-31 23:59:59.999,23271447.02712000,73440,1606184.77000000,11202742.01381000
2023-02-01,6.95200000,7.27700000,6.67000000,7.21400000,5493548.16000000,2023-02-01 23:59:59.999,38229868.24028000,123396,2664853.60000000,18553709.33018000
2023-02-02,7.21400000,7.48400000,7.03500000,7.09900000,5767987.46000000,2023-02-02 23:59:59.999,41979312.77008000,121741,2682165.73000000,19530450.14577000
2023-02-03,7.10000000,7.33800000,7.01200000,7.29400000,4395091.81000000,2023-02-03 23:59:59.999,31580344.48917000,97911,2188724.77000000,15726126.59501000
2023-02-04,7.29300000,7.36400000,7.12600000,7.23700000,3211192.96000000,2023-02-04 23:59:59.999,23306427.94014000,63126,1484833.96000000,10776751.05776000
2023-02-05,7.24000000,7.25200000,6.86100000,6.98500000,3416697.21000000,2023-02-05 23:59:59.999,24029442.25939000,79083,1630683.17000000,11466784.46979000
2023-02-06,6.98500000,7.06300000,6.76500000,6.83200000,3504454.35000000,2023-02-06 23:59:59.999,24368382.10801000,71794,1717369.80000000,11943763.52709000
2023-02-07,6.83100000,7.21400000,6.81400000,7.19700000,4543771.59000000,2023-02-07 23:59:59.999,31940844.58184000,87292,2169759.18000000,15247326.48258000
2023-02-08,7.19900000,7.30000000,6.95200000,7.13600000,4910694.89000000,2023-02-08 23:59:59.999,35202886.85344000,93463,2294276.44000000,16451503.06768000
2023-02-09,7.13700000,7.81700000,6.81800000,6.98400000,18751956.03000000,2023-02-09 23:59:59.999,139108115.06778000,387770,9191981.35000000,68214721.01859000
2023-02-10,6.98300000,7.12000000,6.77700000,6.89000000,6619057.31000000,2023-02-10 23:59:59.999,45977522.77328000,152760,3118407.28000000,21669693.44845000
2023-02-11,6.88900000,7.03600000,6.85300000,7.00300000,2293574.29000000,2023-02-11 23:59:59.999,15897589.82762000,56057,1119094.86000000,7757132.42538000
2023-02-12,7.00300000,7.09000000,6.68500000,6.80800000,3320809.33000000,2023-02-12 23:59:59.999,23000593.11427000,77871,1546445.67000000,10725855.84772000
2023-02-13,6.81000000,6.84700000,6.40000000,6.66900000,5424849.87000000,2023-02-13 23:59:59.999,35797891.45100000,134450,2381107.05000000,15724466.46569000
2023-02-14,6.66900000,6.83200000,6.52700000,6.80800000,4395799.03000000,2023-02-14 23:59:59.999,29402031.08378000,96495,2126212.18000000,14225090.08336000
2023-02-15,6.80800000,7.31000000,6.72600000,7.28100000,5174614.29000000,2023-02-15 23:59:59.999,36181020.05060000,101980,2535906.99000000,17716584.26656000
2023-02-16,7.28000000,7.49500000,6.99700000,7.01100000,8199081.68000000,2023-02-16 23:59:59.999,59698915.45343000,161363,4037955.92000000,29424728.84143000
2023-02-17,7.01100000,7.71100000,6.97200000,7.65000000,8097968.31000000,2023-02-17 23:59:59.999,59820622.23835000,158332,4002785.28000000,29556659.68211000
2023-02-18,7.64900000,8.25600000,7.49500000,7.98900000,11389046.79000000,2023-02-18 23:59:59.999,90689528.98713000,218859,5740952.32000000,45715331.94662000
2023-02-19,7.98600000,8.28900000,7.82000000,8.01400000,9416026.58000000,2023-02-19 23:59:59.999,75998996.05408000,204560,4590665.77000000,37075376.47107000
2023-02-20,8.01000000,8.40000000,7.72100000,8.01700000,8065377.47000000,2023-02-20 23:59:59.999,65299250.76544000,186099,3980396.61000000,32230872.45536000
2023-02-21,8.01900000,8.07700000,7.50500000,7.64000000,5893974.86000000,2023-02-21 23:59:59.999,45835031.50449000,122144,2742629.02000000,21320661.70392000
2023-02-22,7.64100000,7.75200000,7.29400000,7.71700000,6496942.59000000,2023-02-22 23:59:59.999,48803507.79223000,137512,3204411.54000000,24093536.09892000
2023-02-23,7.71700000,8.21000000,7.67000000,7.93500000,10150106.82000000,2023-02-23 23:59:59.999,80670114.08024000,215511,5083895.06000000,40391739.30044000
2023-02-24,7.93700000,8.14900000,7.22000000,7.46600000,9713019.08000000,2023-02-24 23:59:59.999,75162145.09463000,243030,4892935.33000000,37938936.85877000
2023-02-25,7.46600000,7.49100000,7.16800000,7.37300000,4277893.98000000,2023-02-25 23:59:59.999,31404475.91232000,113972,1826112.60000000,13407151.28462000
